"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.ThreeBags","test_three_bags","","","","test_three_bags[numbers1-input_data1-29]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.HillsAndValleys","test_hills_and_valleys","","","","test_hills_and_valleys[4-input_data0-expected_result0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.SumOfPaths","test_sum_of_paths","","","","test_sum_of_pathsz[numbers1-numbers21-input_data1-expected_result1]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.SumOfPaths","test_sum_of_paths","","","","test_sum_of_pathsz[numbers0-numbers20-input_data0-expected_result0]",""
"passed","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.problems.WasteSorting","test_waste_sorting","","","","test_waste_sorting[7-cases0-expected_result0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.DistinctiveRootsInATree","test_distinctive_roots_in_a_tree","","","","test_distinctive_roots_in_a_tree[5-numbers1-input_data1-0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.problems.CardsForFriends","test_cards_for_friends","","","","test_cards_for_friends[5-cases0-expected_result0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.problems.FairDivision","test_fair_division","","","","test_fair_division[5-cases0-expected_result0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.problems.FourSegments","test_four_segments","","","","test_four_segments[4-cases0-expected_result0]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.ThreeBags","test_three_bags","","","","test_three_bags[numbers0-input_data0-20]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.DistinctiveRootsInATree","test_distinctive_roots_in_a_tree","","","","test_distinctive_roots_in_a_tree[5-numbers0-input_data0-3]",""
"skipped","Mon May 10 09:19:20 GMT 2021","Mon May 10 09:19:20 GMT 2021","0","src.test.java.testCoFo.events.e695.WizardOfOrz","test_wizard_of_orz","","","","test_wizard_of_orz[2-input_data0-expected_result0]",""
